year,month,date_reported,arrest_date,borough,offense_category,offense_description,bias_motive,offense_category
2021,July,07/14/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-BLACK,Race/Color
2021,July,07/06/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-GENDER NON-CONFORMING,Gender
2022,July,07/08/2022,08/30/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,July,07/20/2022,07/20/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,July,07/28/2022,07/28/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,July,07/28/2022,07/28/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,July,07/28/2022,07/28/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,July,07/29/2022,07/28/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,July,07/31/2022,08/02/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,July,07/09/2022,07/26/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,July,07/09/2022,08/15/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,July,07/23/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-TRANSGENDER,Gender
2019,August,08/04/2019,08/21/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,August,08/27/2019,09/12/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,August,08/16/2019,08/16/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2019,August,08/09/2019,08/23/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2019,August,08/14/2019,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2019,August,08/29/2019,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2020,August,09/15/2020,09/21/2020,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-BLACK,Race/Color
2021,August,08/26/2021,08/26/2021,BRONX,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2021,August,08/07/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-TRANSGENDER,Gender
2021,August,08/19/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,August,08/27/2022,08/27/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,August,08/21/2022,08/29/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,August,08/30/2022,08/30/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,August,08/30/2022,05/18/2023,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,August,08/01/2022,08/01/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-JEHOVAHS WITNESS,Religion/Religious Practice
2022,August,09/21/2022,09/25/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,August,08/21/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,August,08/25/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2019,September,09/05/2019,09/05/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2019,September,09/12/2019,12/16/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,September,09/12/2019,01/22/2020,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,September,09/02/2020,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2021,September,09/22/2021,09/23/2021,BRONX,FELONY,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2021,September,09/11/2021,09/11/2021,BRONX,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,September,09/23/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,September,09/06/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2021,September,09/19/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,September,09/22/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,September,09/23/2022,09/23/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,September,09/23/2022,10/18/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,September,09/21/2022,12/08/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,September,09/06/2022,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,September,09/24/2022,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,September,09/21/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2019,October,10/22/2019,10/22/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2019,October,10/30/2019,10/30/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,October,10/15/2019,10/15/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-TRANSGENDER,Gender
2019,October,10/25/2019,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-BLACK,Race/Color
2019,October,10/30/2019,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2020,October,10/01/2020,10/01/2020,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2020,October,10/01/2020,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2021,October,10/11/2021,10/11/2021,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-TRANSGENDER,Gender
2021,October,10/17/2021,10/16/2021,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2021,October,10/20/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,October,10/12/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,October,10/11/2022,10/11/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,October,10/29/2022,10/29/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,October,10/23/2022,12/08/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2019,November,11/06/2019,11/05/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,November,11/11/2019,11/11/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2019,November,11/22/2019,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,November,11/07/2020,11/12/2020,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2021,November,11/02/2021,06/13/2022,BRONX,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2021,November,11/27/2021,12/02/2021,BRONX,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2021,November,11/06/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2021,November,11/30/2021,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,November,11/12/2022,11/12/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-TRANSGENDER,Gender
2022,November,11/03/2022,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-WHITE,Race/Color
2022,November,11/07/2022,,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2022,November,11/07/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,December,12/26/2019,12/26/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,December,12/23/2019,12/23/2019,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,December,12/31/2019,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2020,December,12/13/2020,01/08/2021,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2020,December,12/04/2020,12/15/2020,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,December,12/26/2020,12/26/2020,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-BLACK,Race/Color
2020,December,12/13/2020,,BROOKLYN,FELONY,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2021,December,12/27/2021,12/27/2021,BRONX,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,December,12/08/2022,12/08/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,December,12/10/2022,01/05/2023,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2022,December,12/04/2022,12/06/2022,MANHATTEN,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,December,12/03/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-ASIAN,Race/Color
2022,December,12/04/2022,,QUEENS,FELONY,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,July,07/16/2019,,BROOKLYN,MISDEMEANOR,FRAUDS,ANTI-JEWISH,Religion/Religious Practice
2021,February,02/10/2021,02/23/2021,BRONX,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/17/2022,02/17/2022,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,March,03/20/2020,03/19/2020,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-ASIAN,Race/Color
2021,March,03/12/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,March,03/22/2022,,QUEENS,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/24/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-ASIAN,Race/Color
2022,April,04/24/2022,07/04/2022,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/24/2022,,QUEENS,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2020,May,06/04/2020,06/05/2020,BROOKLYN,FELONY,GRAND LARCENY ,60 YRS AND OLDER,Age
2019,June,06/13/2019,06/14/2019,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/13/2019,,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2021,June,06/17/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2019,July,07/30/2019,,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2020,July,07/23/2020,,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,July,07/21/2022,08/25/2022,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,July,07/03/2022,,QUEENS,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,July,07/18/2022,,QUEENS,FELONY,GRAND LARCENY ,ANTI-ASIAN,Race/Color
2020,August,08/18/2020,,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2021,August,08/20/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2021,October,10/09/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,October,10/12/2022,10/20/2022,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-CATHOLIC,Religion/Religious Practice
2019,November,11/24/2019,11/23/2019,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2019,November,11/26/2019,,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2019,November,11/24/2019,,BROOKLYN,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2021,November,11/02/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-MUSLIM,Religion/Religious Practice
2021,November,11/18/2021,,MANHATTEN,FELONY,GRAND LARCENY ,ANTI-WHITE,Race/Color
2022,November,11/23/2022,,QUEENS,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2022,November,11/28/2022,,QUEENS,FELONY,GRAND LARCENY ,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/17/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-JEWISH,Religion/Religious Practice
2021,January,01/31/2021,04/20/2021,BRONX,VIOLATION,HARRASSMENT ,ANTI-MUSLIM,Religion/Religious Practice
2022,January,01/26/2022,03/04/2022,MANHATTEN,VIOLATION,HARRASSMENT ,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2022,April,04/25/2022,,QUEENS,VIOLATION,HARRASSMENT ,ANTI-ASIAN,Race/Color
2020,June,06/14/2020,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-ASIAN,Race/Color
2021,June,06/30/2021,,MANHATTEN,VIOLATION,HARRASSMENT ,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,July,08/11/2020,10/14/2020,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,July,07/25/2021,08/27/2021,BRONX,VIOLATION,HARRASSMENT ,ANTI-ASIAN,Race/Color
2019,August,08/23/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-WHITE,Race/Color
2020,August,08/12/2020,10/14/2020,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,August,08/18/2022,,QUEENS,VIOLATION,HARRASSMENT ,ANTI-BLACK,Race/Color
2019,September,10/02/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-JEWISH,Religion/Religious Practice
2019,October,10/11/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-JEWISH,Religion/Religious Practice
2019,October,10/13/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-JEWISH,Religion/Religious Practice
2019,October,10/06/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-JEWISH,Religion/Religious Practice
2021,October,10/28/2021,,MANHATTEN,VIOLATION,HARRASSMENT ,ANTI-BLACK,Race/Color
2019,December,12/02/2019,,BROOKLYN,VIOLATION,HARRASSMENT ,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/12/2022,,QUEENS,INVESTIGATION,COMPLAINT,ANTI-JEWISH,Religion/Religious Practice
2019,October,10/24/2019,,BROOKLYN,INVESTIGATION,CHILD ABUSE,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/27/2022,06/27/2022,MANHATTEN,FELONY,KIDNAPPING,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,January,01/23/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/13/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/13/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/29/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,03/05/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/17/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/31/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,January,01/28/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/14/2020,01/14/2020,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,06/04/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/13/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/31/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/11/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-CATHOLIC,Religion/Religious Practice
2020,January,01/15/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/31/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-BLACK,Race/Color
2020,January,01/30/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,January,01/20/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-BLACK,Race/Color
2020,January,02/04/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,January,01/19/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,January,01/05/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-BLACK,Race/Color
2021,January,04/26/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,January,02/14/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/14/2022,01/21/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/19/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/25/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/16/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/05/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/26/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/20/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/25/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,08/29/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,02/24/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/12/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/31/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,January,01/13/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/30/2023,02/05/2023,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/03/2023,01/03/2023,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/30/2023,02/16/2023,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/23/2023,01/25/2023,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/16/2023,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/20/2023,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/15/2023,,STATEN ISLAND,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/04/2023,,STATEN ISLAND,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/05/2023,,STATEN ISLAND,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/21/2023,,STATEN ISLAND,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,January,01/23/2023,,STATEN ISLAND,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/04/2019,02/27/2019,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/18/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/11/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/06/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/15/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/02/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/19/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,February,02/17/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/27/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/17/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2019,February,02/25/2019,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/08/2020,02/11/2020,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/25/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/11/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/03/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/12/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/08/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,03/04/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/26/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/06/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2020,February,02/13/2020,,BROOKLYN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,February,02/06/2021,09/27/2022,BRONX,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,February,02/17/2021,04/15/2021,BRONX,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,February,02/10/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,February,02/03/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,February,03/09/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2021,February,02/08/2021,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/05/2022,03/03/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/06/2022,03/03/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/09/2022,03/03/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/05/2022,04/07/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/06/2022,04/07/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/09/2022,04/07/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/25/2022,08/01/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/25/2022,06/27/2023,MANHATTEN,FELONY,PENAL LAW,ANTI-BLACK,Race/Color
2022,February,02/24/2022,03/02/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/28/2022,03/02/2022,MANHATTEN,FELONY,PENAL LAW,ANTI-ASIAN,Race/Color
2022,February,03/03/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/25/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/23/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/06/2022,,MANHATTEN,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/23/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/14/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/12/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/28/2022,,QUEENS,FELONY,PENAL LAW,ANTI-ASIAN,Race/Color
2022,February,02/20/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/08/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/10/2022,,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,February,02/10/2023,02/13/2023,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
2023,February,02/12/2023,02/13/2023,QUEENS,FELONY,PENAL LAW,ANTI-JEWISH,Religion/Religious Practice
