year,month,date_reported,arrest_date,borough,offense_category,offense_description,bias_motive,offense_category
2019,May,05/23/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,May,05/12/2020,05/12/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-GENDER NON-CONFORMING,Gender
2020,May,05/24/2020,05/24/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,May,05/23/2021,05/25/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/23/2021,05/25/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/23/2021,05/26/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/23/2021,05/26/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/02/2021,05/01/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/26/2021,05/26/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/21/2021,07/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/22/2021,07/23/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/11/2021,05/10/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2021,May,05/16/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,May,05/17/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/03/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,May,05/02/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,May,05/21/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/18/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/01/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/21/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,May,05/25/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2022,May,05/11/2022,05/11/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2022,May,05/13/2022,05/13/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2022,May,05/14/2022,05/14/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2022,May,05/14/2022,05/14/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,May,05/10/2022,05/20/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,May,05/22/2022,05/26/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2022,May,05/06/2022,06/01/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,May,05/10/2022,06/15/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,May,05/27/2022,06/26/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,May,05/29/2022,07/09/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,May,05/04/2022,05/04/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,May,05/09/2022,05/27/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,May,05/06/2022,05/05/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2022,May,05/19/2022,05/19/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2022,May,05/02/2022,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,May,05/24/2022,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,May,05/10/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2023,May,05/17/2023,05/17/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
